Institutions,Inst_cap,Dual Enrollment,,,Freshman,,,,Sophomore,,,,,,Junior,,,,,Senior,,,,Graduate,,,,,First Professional,,,,,,,Transient,,,,,Res & Interns,,,,,All Others,,,,,Total Enrollment,,
Augusta University,AUGUSTA UNIVERSITY,374,,,"1,521",,,,"1,307",,,,,,"1,257",,,,,"1,444",,,,"3,377",,,,,"1,480",,,,,,,23,,,,,649,,,,,152,,,,,"11,584",,
Georgia Institute of Technology,GEORGIA INSTITUTE OF TECHNOLOGY,"1,576",,,"3,724",,,,"2,914",,,,,,"4,756",,,,,"7,390",,,,"32,772",,,,,0,,,,,,,225,,,,,0,,,,,6,,,,,"53,363",,
Georgia State University,GEORGIA STATE UNIVERSITY,"3,933",,,"13,876",,,,"10,907",,,,,,"6,616",,,,,"8,934",,,,"6,859",,,,,670,,,,,,,118,,,,,0,,,,,510,,,,,"52,423",,
University of Georgia,UNIVERSITY OF GEORGIA,152,,,"4,486",,,,"7,632",,,,,,"8,977",,,,,"11,026",,,,"9,051",,,,,"1,696",,,,,,,110,,,,,0,,,,,16,,,,,"43,146",,
Research Universities,RESEARCH UNIVERSITIES,"6,035",,,"23,607",,,,"22,760",,,,,,"21,606",,,,,"28,794",,,,"52,059",,,,,"3,846",,,,,,,476,,,,,649,,,,,684,,,,,"160,516",,
Georgia Southern University,GEORGIA SOUTHERN UNIVERSITY,"1,550",,,"6,768",,,,"4,918",,,,,,"4,491",,,,,"5,316",,,,"3,888",,,,,0,,,,,,,55,,,,,0,,,,,520,,,,,"27,506",,
Kennesaw State University,KENNESAW STATE UNIVERSITY,"1,358",,,"12,065",,,,"9,671",,,,,,"8,903",,,,,"10,629",,,,"5,005",,,,,0,,,,,,,57,,,,,0,,,,,157,,,,,"47,845",,
University of West Georgia,UNIVERSITY OF WEST GEORGIA,"1,529",,,"2,207",,,,"1,703",,,,,,"1,686",,,,,"1,923",,,,"5,237",,,,,0,,,,,,,26,,,,,0,,,,,83,,,,,"14,394",,
Valdosta State University,VALDOSTA STATE UNIVERSITY,518,,,"1,639",,,,"1,313",,,,,,"1,538",,,,,"2,011",,,,"3,099",,,,,0,,,,,,,23,,,,,0,,,,,164,,,,,"10,305",,
Comprehensive Universities,COMPREHENSIVE UNIVERSITIES,"4,955",,,"22,679",,,,"17,605",,,,,,"16,618",,,,,"19,879",,,,"17,229",,,,,0,,,,,,,161,,,,,0,,,,,924,,,,,"100,050",,
Albany State University,ALBANY STATE UNIVERSITY,183,,,"2,540",,,,"1,440",,,,,,"1,014",,,,,952,,,,617,,,,,0,,,,,,,3,,,,,0,,,,,60,,,,,"6,809",,
Clayton State University,CLAYTON STATE UNIVERSITY,"1,188",,,985,,,,954,,,,,,"1,013",,,,,"1,370",,,,612,,,,,0,,,,,,,15,,,,,0,,,,,35,,,,,"6,172",,
