Institution,2019,2020,2021,2022,2023,Organization
Augusta University,9274,9565,9606,9813,10546,AUGUSTA UNIVERSITY
Georgia Institute of Technology,36489,39771,43859,45296,47961,GEORGIA INSTITUTE OF TECHNOLOGY
Georgia State University,53619,53743,52350,51995,50521,GEORGIA STATE UNIVERSITY
University of Georgia,38920,39147,40118,40607,41615,UNIVERSITY OF GEORGIA
Research Universities,138302,142226,145933,147711,150643,RESEARCH UNIVERSITIES
Georgia Southern University,26054,26949,27091,25506,26106,GEORGIA SOUTHERN UNIVERSITY
Kennesaw State University,37807,41181,42983,43268,45152,KENNESAW STATE UNIVERSITY
University of West Georgia,13238,13419,12718,11914,12769,UNIVERSITY OF WEST GEORGIA
Valdosta State University,11270,12304,11573,10225,10180,VALDOSTA STATE UNIVERSITY
Comprehensive Universities,88369,93853,94365,90913,94207,COMPREHENSIVE UNIVERSITIES
Albany State University,6122,6509,6324,6358,6599,ALBANY STATE UNIVERSITY
Clayton State University,6879,7052,6820,5857,5881,CLAYTON STATE UNIVERSITY
Columbus State University,7877,8376,7924,7500,7637,COLUMBUS STATE UNIVERSITY
Fort Valley State University,2624,2827,2783,2609,2765,FORT VALLEY STATE UNIVERSITY
Georgia College and State University,7031,6873,6763,6315,6811,GEORGIA COLLEGE AND STATE UNIVERSITY
Georgia Southwestern State University,2950,3162,3158,3076,3415,GEORGIA SOUTHWESTERN STATE UNIVERSITY
Middle Georgia State University,8066,8404,7885,7689,8039,MIDDLE GEORGIA STATE UNIVERSITY
Savannah State University,3688,3488,3395,2962,3099,SAVANNAH STATE UNIVERSITY
University of North Georgia,19748,19793,18985,18046,18086,UNIVERSITY OF NORTH GEORGIA
State Universities,64985,66484,64037,60412,62332,STATE UNIVERSITIES
Abraham Baldwin Agricultural College,3927,3990,3815,3649,3768,ABRAHAM BALDWIN AGRICULTURAL COLLEGE
Atlanta Metropolitan State College,1844,1704,1612,1440,1556,ATLANTA METROPOLITAN STATE COLLEGE
College of Coastal Georgia,3535,3457,3249,3155,3200,COLLEGE OF COASTAL GEORGIA
Dalton State College,4964,4794,4535,4535,4908,DALTON STATE COLLEGE
East Georgia State College,2741,2415,2023,1900,1768,EAST GEORGIA STATE COLLEGE
Georgia Gwinnett College,12831,11627,10949,11030,11918,GEORGIA GWINNETT COLLEGE
Georgia Highlands College,6168,5680,5245,4776,5094,GEORGIA HIGHLANDS COLLEGE
Gordon State College,3495,3231,3101,3144,3145,GORDON STATE COLLEGE
South Georgia State College,2346,2028,1774,1794,1853,SOUTH GEORGIA STATE COLLEGE
State Colleges,41851,38926,36303,35423,37210,STATE COLLEGES
University System Totals,333507,341489,340638,334459,344392,UNIVERSITY SYSTEM TOTALS
